V	D	S	T	ê
0.21	0.14	0.05	18.4	0.938
0.66	0.2	0.07	21.7	0.943
0.562	0.13	0.03	12	0.949
0.44	0.23	0.07	19.7	0.95
0.22	0.12	0.04	11.1	0.957
0.58	0.16	0.05	11.5	0.959
0.43	0.08	0.04	22.1	0.96
0	0.12	0.07	14.6	0.964
0.41	0.12	0.03	17.9	0.965
0.32	0.21	0.04	19.6	0.966
0.16	0.14	0.03	16.9	0.973
0.04	0.22	0.07	17.1	0.984
0.16	0.12	0.05	21.9	0.986
