380				
0.79	0.48	0.04	11.3	39.7
0.778	0.31	0.07	12.3	39.8
0.16	0.08	0.03	20	40
0	0.37	0.022	18.9	40.5
0.3	0.37	0.07	21.5	40.8
0.6	0.28	0.05	19	41
0.48	0.42	0.024	14.9	41.2
1.07	0.38	0.07	18.8	41.4
0.21	0.14	0.04	16.8	41.6
0.1	0.27	0.024	24.2	41.9
0.13	0.05	0.07	12.1	43.3
0.6	0.14	0.05	22.4	43.4
0.1	0.1	0.05	16.8	44.1
0	0.2	0.022	24.2	44.3
0.13	0.11	0.03	18.7	44.6
0.18	0.23	0.04	21.8	44.6
0.07	0.16	0.07	21.1	45.5
0.42	0.68	0.07	12.2	45.7
0.45	0.53	0.05	11.2	45.8
0.36	0.34	0.05	19.4	45.8
0.53	0.24	0.04	11.1	46
0	0.25	0.07	14	46.2
0.16	0.8	0.05	18.9	46.3
0.75	0.47	0.05	12.1	46.4
0.19	0.22	0.07	12	46.5
0	0.29	0.04	16.9	47.2
0.63	0.29	0.04	18.4	47.2
0.1	0.28	0.07	14.8	47.4
0.12	0.34	0.05	18.5	47.8
0.25	0.17	0.024	16.9	48.1
0	0.17	0.05	17.9	48.3
0.806	0.36	0.07	12.6	48.4
0.13	0.09	0.04	24.1	48.4
0	0.18	0.07	12.2	48.5
0.45	0.32	0.04	16.9	48.7
0.62	0.08	0.05	12.1	48.7
1.08	0.44	0.04	10.9	48.8
1.01	0.22	0.05	12.2	49.1
0.34	0.1	0.03	14	49.5
0.25	0.57	0.04	19.1	49.6
0.35	0.28	0.03	19.9	50.6
0.48	0.33	0.04	19.3	50.7
0.06	0.18	0.05	13.1	51
0.771	0.34	0.07	11.5	51.1
0.66	0.16	0.05	17.6	51.2
0.41	0.14	0.026	11.5	51.3
0.34	0.04	0.04	16.8	51.4
0.41	0.27	0.03	20.7	51.5
0.43	0.27	0.07	16.9	51.8
0.84	0.24	0.05	12.2	52
0	0.09	0.07	12.9	52.1
0.15	0.39	0.07	19	52.1
0	0.12	0.05	22	52.5
0	0.19	0.07	23.9	52.5
0.18	0.24	0.05	13.9	52.9
0	0.15	0.03	13.1	53
0.11	0.66	0.07	18.9	53.1
0.16	0.26	0.05	17.8	53.1
0.27	0.28	0.07	14.8	53.2
0.08	0.21	0.04	13.1	53.2
0.33	0.38	0.03	14.5	53.4
0.63	0.24	0.04	10.7	53.8
